flow_duration_ms,protocol_type,service,src_bytes,dst_bytes,packet_count,byte_rate,packet_rate,syn_count,ack_count,fin_count,rst_count,failed_logins,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_serror_rate,dst_host_rerror_rate,attack_category,is_intrusion
2631,TCP,HTTPS,4782,95702,117,38190.87,44.47,1,117,1,0,0,0.994,0.149,3,55,0.02,0.034,Benign,0
36,TCP,HTTP,43435,25,2052,1203878.12,56842.11,1662,154,0,611,0,0.91,0.006,183,187,0.702,0.147,DoS_DDoS,1
714,TCP,HTTPS,11009,11481,21,31494.19,29.41,1,21,1,0,0,0.909,0.112,1,94,0.013,0.008,Benign,0
100,TCP,HTTP,227,15336,13,155474.53,129.87,2,13,1,0,0,0.765,0.102,46,87,0.042,0.011,Benign,0
14,TCP,HTTP,84,0,2,5957.45,141.84,2,0,0,0,0,0.199,0.843,241,7,0.742,0.743,PortScan,1
1558,TCP,HTTPS,596,7394,30,5128.04,19.25,1,30,1,0,0,0.793,0.047,6,9,0.038,0.016,Benign,0
1168,TCP,HTTPS,396,154809,8,132869.62,6.85,2,8,2,0,0,0.941,0.013,18,81,0.037,0.017,Benign,0
2301,TCP,HTTPS,745,3819,51,1983.4,22.16,1,51,1,0,0,0.863,0.087,41,63,0.016,0.023,Benign,0
1808,TCP,SMTP,4393,4454,25,4892.98,13.83,1,25,1,0,0,0.873,0.04,6,44,0.034,0.017,Benign,0
506,TCP,DNS,686,20435,26,41732.86,51.37,1,26,1,0,0,0.807,0.112,26,51,0.017,0.038,Benign,0
4755,TCP,SSH,967,375,15,282.22,3.15,2,13,1,1,8,0.964,0.032,53,13,0.225,0.37,BruteForce,1
917,TCP,HTTP,5274,18301,91,25706.03,99.23,1,91,1,0,0,0.916,0.067,49,64,0.016,0.002,Benign,0
2142,TCP,HTTP,503,60075,12,28279.73,5.6,1,12,2,0,0,0.961,0.142,33,64,0.006,0.0,Benign,0
3403,UDP,HTTPS,1861,7411,9,2724.57,2.64,1,9,2,0,0,0.85,0.147,31,41,0.007,0.001,Benign,0
115,TCP,SMTP,1658,3068,24,41059.95,208.51,1,24,1,0,0,0.834,0.083,13,69,0.048,0.028,Benign,0
849,TCP,HTTP,539,1520,14,2424.92,16.49,2,14,1,0,0,0.954,0.102,2,42,0.045,0.021,Benign,0
1062,UDP,HTTPS,1189,5036,35,5861.03,32.95,1,35,1,0,0,0.941,0.091,47,57,0.007,0.015,Benign,0
1161,TCP,FTP,1194,1012,59,1899.92,50.81,5,54,1,3,3,0.975,0.016,78,30,0.053,0.554,BruteForce,1
265,TCP,HTTP,1558,28935,31,115024.52,116.94,1,31,1,0,0,0.909,0.053,7,96,0.03,0.033,Benign,0
3329,TCP,HTTPS,2141,9898,31,3616.29,9.31,2,31,1,0,0,0.85,0.108,14,17,0.02,0.003,Benign,0
2196,TCP,HTTPS,5150,30976,28,16450.07,12.75,1,28,1,0,0,0.921,0.003,34,67,0.032,0.006,Benign,0
3651,TCP,SSH,1308,958,34,620.63,9.31,5,29,1,2,10,0.982,0.065,77,34,0.22,0.546,BruteForce,1
137,UDP,HTTP,50247,115,1625,367337.71,11852.66,1399,66,0,610,0,0.899,0.06,208,250,0.739,0.189,DoS_DDoS,1
58,TCP,DNS,757,3485,12,73012.05,206.54,1,12,1,0,0,0.947,0.12,30,82,0.012,0.002,Benign,0
41,TCP,FTP,90,0,1,2189.78,24.33,1,0,0,0,0,0.107,0.903,245,9,0.82,0.419,PortScan,1
40,UDP,HTTP,7918,20,828,197955.11,20648.38,582,21,0,89,0,0.979,0.016,224,180,0.75,0.17,DoS_DDoS,1
2320,TCP,HTTPS,428,3272,63,1594.76,27.15,2,63,1,0,0,0.786,0.125,36,48,0.008,0.012,Benign,0
5577,TCP,OTHER,170,3434,13,646.21,2.33,1,12,1,0,0,0.776,0.486,6,23,0.045,0.047,Botnet_C2,1
797,TCP,HTTPS,145,123151,43,154680.72,53.95,1,43,2,0,0,0.93,0.131,4,68,0.031,0.033,Benign,0
307,TCP,HTTPS,4483,27,1315,14685.77,4281.99,1057,86,0,160,0,0.892,0.018,227,181,0.825,0.112,DoS_DDoS,1
11340,TCP,SSH,1976,528,53,220.81,4.67,5,48,1,2,3,0.869,0.003,63,10,0.058,0.574,BruteForce,1
15,TCP,FTP,92,0,3,6092.72,198.68,3,0,0,0,0,0.176,0.88,245,4,0.771,0.787,PortScan,1
376,UDP,DNS,15450,82,671,41297.53,1784.1,517,1,0,111,0,0.997,0.065,222,176,0.803,0.013,DoS_DDoS,1
1894,TCP,HTTPS,1316,9675,26,5802.76,13.73,1,26,1,0,0,0.843,0.078,13,20,0.023,0.036,Benign,0
167,UDP,HTTP,972,12123,10,78366.25,59.84,1,10,1,0,0,0.806,0.071,22,33,0.025,0.004,Benign,0
1944,TCP,HTTP,1000,2521,27,1811.12,13.89,1,27,1,0,0,0.763,0.081,12,19,0.047,0.025,Benign,0
353,UDP,HTTP,2492,30,854,7142.45,2418.58,679,40,0,175,0,0.867,0.044,216,163,0.975,0.173,DoS_DDoS,1
635,TCP,DNS,838,26777,13,43481.34,20.47,1,13,1,0,0,0.876,0.095,15,37,0.043,0.011,Benign,0
1350,TCP,SSH,845,953,24,1331.75,17.78,3,21,1,2,8,0.974,0.016,77,6,0.023,0.373,BruteForce,1
2644,TCP,DNS,2866,19168,49,8333.27,18.53,1,49,1,0,0,0.843,0.094,36,54,0.006,0.022,Benign,0
991,TCP,DNS,1001,2863,39,3898.7,39.35,1,39,1,0,0,0.989,0.046,10,89,0.04,0.005,Benign,0
1409,UDP,HTTPS,1486,2095,24,2541.34,17.03,1,24,1,0,0,0.873,0.065,17,71,0.013,0.013,Benign,0
247,TCP,HTTP,1121,75351,45,309477.94,182.11,1,45,1,0,0,0.902,0.105,12,51,0.04,0.038,Benign,0
1759,TCP,HTTP,800,5949,13,3836.62,7.39,1,13,1,0,0,0.837,0.084,14,95,0.043,0.026,Benign,0
4,TCP,OTHER,81,34,2,28048.78,487.8,2,0,0,1,0,0.007,0.771,225,3,0.681,0.747,PortScan,1
297,TCP,HTTPS,2288,179,2814,8303.6,9471.56,2176,94,0,417,0,0.91,0.007,223,209,0.812,0.051,DoS_DDoS,1
3132,TCP,SSH,509,1409,33,612.37,10.54,5,28,1,1,5,0.88,0.071,60,25,0.213,0.314,BruteForce,1
210,TCP,DNS,4537,32,1359,21746.79,6468.35,1236,103,0,447,0,0.929,0.014,224,160,0.795,0.156,DoS_DDoS,1
1401,UDP,SSH,3324,7683,21,7855.97,14.99,1,21,1,0,0,0.908,0.148,25,54,0.0,0.012,Benign,0
3625,TCP,HTTPS,415,3520,10,1085.49,2.76,2,10,1,0,0,0.849,0.041,3,3,0.016,0.029,Benign,0
1191,UDP,HTTPS,1983,1905,16,3264.21,13.43,1,16,1,0,0,0.827,0.084,14,84,0.015,0.002,Benign,0
1036,TCP,HTTP,186,10942,21,10740.28,20.27,1,21,1,1,0,0.859,0.061,13,14,0.015,0.012,Benign,0
170,TCP,HTTPS,583,59747,101,354673.72,593.77,2,101,1,0,0,0.811,0.072,23,34,0.036,0.026,Benign,0
377,UDP,HTTPS,897,25885,25,71020.95,66.3,1,25,1,0,0,0.862,0.054,8,49,0.047,0.015,Benign,0
403,TCP,DNS,10450,83215,22,232361.7,54.58,1,22,1,0,0,0.966,0.054,20,80,0.026,0.032,Benign,0
62,UDP,HTTP,23840,89,1002,385330.11,16135.27,771,81,0,217,0,0.923,0.019,231,166,0.861,0.061,DoS_DDoS,1
3811,TCP,HTTPS,5089,68884,17,19409.88,4.46,2,17,1,0,0,0.828,0.007,11,83,0.05,0.038,Benign,0
27,TCP,HTTP,3674,50,1521,137416.97,56125.46,1309,1,0,593,0,0.968,0.08,188,197,0.867,0.182,DoS_DDoS,1
265,UDP,DNS,8204,2116,50,38928.71,188.61,1,50,1,0,0,0.889,0.139,5,45,0.03,0.012,Benign,0
39,TCP,OTHER,101,0,1,2583.12,25.58,1,0,0,0,0,0.065,0.73,252,2,0.791,0.357,PortScan,1
173,TCP,HTTP,28293,20,559,163564.41,3229.35,421,34,0,172,0,0.864,0.065,228,175,0.917,0.137,DoS_DDoS,1
448,TCP,HTTP,1287,1259,41,5681.77,91.5,2,41,1,0,0,0.987,0.083,4,65,0.045,0.007,Benign,0
784,TCP,SSH,1240,400,28,2091.57,35.71,5,23,1,2,4,0.958,0.002,13,35,0.207,0.33,BruteForce,1
1308,UDP,HTTPS,9538,83,621,7354.94,474.73,529,58,0,101,0,0.979,0.076,221,254,0.946,0.053,DoS_DDoS,1
167,TCP,HTTPS,419,16701,24,102453.62,143.63,2,24,1,0,0,0.761,0.07,26,80,0.039,0.02,Benign,0
217,TCP,HTTPS,1371,1766,17,14449.56,78.3,1,17,1,0,0,0.949,0.122,24,33,0.018,0.002,Benign,0
3106,TCP,HTTP,302,11414,11,3771.93,3.54,2,11,1,0,0,0.925,0.035,26,37,0.016,0.009,Benign,0
698,UDP,SSH,1208,14282,9,22188.8,12.89,2,9,1,1,0,0.836,0.137,26,31,0.018,0.02,Benign,0
320,TCP,HTTPS,485,1494,42,6182.44,131.21,1,42,1,0,0,0.865,0.067,14,82,0.029,0.018,Benign,0
1288,TCP,HTTP,1032,10636,16,9058.3,12.42,1,16,1,0,0,0.843,0.053,43,45,0.004,0.032,Benign,0
3815,UDP,DNS,1543,29646,41,8175.15,10.75,1,41,1,0,0,0.925,0.013,5,89,0.044,0.024,Benign,0
63,UDP,DNS,5713,23,682,90903.33,10808.24,585,3,0,253,0,0.982,0.023,180,184,0.832,0.169,DoS_DDoS,1
68,UDP,HTTPS,961,24537,20,374419.97,293.69,2,20,1,0,0,0.807,0.07,27,30,0.049,0.036,Benign,0
3591,TCP,SSH,3049,1579,24,1288.74,6.68,1,24,1,0,0,0.753,0.029,20,31,0.035,0.026,Benign,0
126,UDP,HTTP,7202,62,557,57605.08,4417.13,493,15,0,201,0,0.947,0.037,206,179,0.799,0.195,DoS_DDoS,1
1878,TCP,HTTPS,259,2229,27,1324.74,14.38,1,27,1,0,0,0.828,0.005,29,44,0.006,0.029,Benign,0
1792,TCP,HTTP,1981,3752,9,3199.04,5.02,1,9,2,0,0,0.83,0.066,7,56,0.005,0.014,Benign,0
1033,TCP,HTTPS,4146,17335,104,20792.76,100.67,1,104,1,0,0,0.858,0.073,19,42,0.03,0.021,Benign,0
139,TCP,DNS,1413,25380,20,192616.82,143.78,1,20,1,0,0,0.849,0.105,48,98,0.05,0.025,Benign,0
1088,UDP,HTTPS,2257,9692,80,10981.53,73.52,1,80,1,1,0,0.938,0.097,14,81,0.04,0.014,Benign,0
50,TCP,HTTP,8997,21,269,180000.0,5369.26,245,1,0,106,0,0.892,0.002,220,180,0.983,0.2,DoS_DDoS,1
597,TCP,HTTPS,3449,41,1790,5844.92,2997.82,1477,123,0,454,0,0.911,0.003,216,219,0.806,0.051,DoS_DDoS,1
451,TCP,HTTPS,12893,40,1346,28669.92,2983.82,1233,128,0,253,0,0.986,0.08,241,203,0.817,0.122,DoS_DDoS,1
87,TCP,HTTP,1853,11998,14,159024.11,160.73,1,14,1,0,0,0.789,0.012,2,32,0.015,0.023,Benign,0
583,TCP,HTTP,651,8502,21,15697.14,36.01,1,21,1,0,0,0.762,0.116,43,58,0.037,0.015,Benign,0
2979,TCP,SSH,750,254,43,337.01,14.43,5,38,1,1,8,0.944,0.083,23,16,0.026,0.53,BruteForce,1
829,TCP,DNS,536,9635,9,12267.52,10.86,1,9,1,0,0,0.953,0.12,12,72,0.001,0.003,Benign,0
86,TCP,HTTP,11239,88,1000,131556.33,11614.4,746,9,0,331,0,0.944,0.06,246,167,0.763,0.172,DoS_DDoS,1
937,TCP,HTTPS,3338,4766,19,8647.96,20.28,2,19,1,0,0,0.77,0.043,27,56,0.007,0.025,Benign,0
66,TCP,HTTPS,148,3472,8,54765.51,121.03,1,8,1,1,0,0.762,0.036,46,78,0.039,0.001,Benign,0
1750,TCP,HTTPS,9133,1724,48,6203.65,27.43,1,48,1,0,0,0.946,0.146,30,74,0.025,0.027,Benign,0
265,TCP,HTTP,1834,15997,13,67261.41,49.04,1,13,1,0,0,0.807,0.102,28,93,0.042,0.011,Benign,0
618,TCP,FTP,707,409,41,1805.53,66.33,5,36,1,1,9,0.924,0.04,45,14,0.031,0.229,BruteForce,1
526,TCP,HTTPS,1140,10750,45,22600.27,85.54,2,45,1,1,0,0.896,0.149,49,61,0.049,0.015,Benign,0
777,TCP,HTTP,888,70019,14,91245.66,18.02,1,14,1,0,0,0.949,0.03,31,64,0.025,0.037,Benign,0
640,TCP,HTTPS,81713,23,280,127692.55,437.43,261,16,0,42,0,0.857,0.045,235,228,0.83,0.194,DoS_DDoS,1
271,TCP,HTTPS,1523,16965,8,68196.24,29.51,1,8,1,0,0,0.764,0.138,8,65,0.022,0.025,Benign,0
474,TCP,HTTPS,1174,3593,15,10054.84,31.64,1,15,1,0,0,0.794,0.094,25,50,0.003,0.037,Benign,0
4729,TCP,SSH,533,12638,23,2785.1,4.86,1,23,1,0,0,0.897,0.009,43,55,0.007,0.012,Benign,0
1947,UDP,HTTP,3393,15118,87,9506.96,44.68,1,87,1,0,0,0.906,0.123,40,49,0.01,0.011,Benign,0
482,TCP,DNS,1372,15494,50,34984.44,103.71,2,50,1,0,0,0.765,0.048,9,96,0.027,0.001,Benign,0
3091,TCP,HTTP,1338,6203,4,2439.58,1.29,1,4,1,0,0,0.752,0.035,42,76,0.017,0.007,Benign,0
17,TCP,FTP,66,0,2,3859.65,116.96,2,0,0,0,0,0.024,0.916,226,6,0.907,0.483,PortScan,1
